,City,Colors Reported,Shape Reported,State,Time,Date,highest
0,Madisonville,,DISK,KY,8/31/2000 22:00,8/31,30.33
1,Aquebogue,,LIGHT,NY,8/31/2000 21:30,8/31,30.33
2,Bouse,,LIGHT,AZ,8/31/2000 21:15,8/31,30.33
3,Columbia Heights,RED,OTHER,MN,8/31/2000 20:43,8/31,30.33
4,Ft. Worth,,CONE,TX,8/30/2000 23:00,8/30,30.09
5,Maybrook,,OTHER,NY,8/30/2000 22:30,8/30,30.09
6,West Danville,,LIGHT,VT,8/30/2000 22:30,8/30,30.09
7,Lakewood,,LIGHT,CO,8/30/2000 22:18,8/30,30.09
8,Redfield,,FORMATION,NY,8/30/2000 22:05,8/30,30.09
9,Elkton,,VARIOUS,OR,8/30/2000 22:00,8/30,30.09
10,Indian Lake,,FORMATION,NY,8/30/2000 22:00,8/30,30.09
11,Long Lake,,FORMATION,NY,8/30/2000 21:45,8/30,30.09
12,Jacksonville,,LIGHT,FL,8/30/2000 21:30,8/30,30.09
13,Troy,,LIGHT,OH,8/30/2000 21:10,8/30,30.09
14,Waltham,,OTHER,MA,8/30/2000 10:15,8/30,30.09
15,Everett,YELLOW,LIGHT,WA,8/30/2000 1:30,8/30,30.09
16,Wildomar,,DISK,CA,8/29/2000 8:30,8/29,29.85
17,Roslyn,,,WA,8/29/2000 5:10,8/29,29.85
18,Lake Tawakoni,,,TX,8/29/2000 23:50,8/29,29.85
19,Streetsboro,,LIGHT,OH,8/29/2000 23:31,8/29,29.85
20,Victorville,,FIREBALL,CA,8/29/2000 23:30,8/29,29.85
21,Lake Havasu,,OTHER,AZ,8/29/2000 23:00,8/29,29.85
22,San Francisco,GREEN,TRIANGLE,CA,8/29/2000 22:15,8/29,29.85
23,Starkville,GREEN,FIREBALL,MS,8/29/2000 22:00,8/29,29.85
24,Gay Head,RED,CIRCLE,MA,8/29/2000 22:00,8/29,29.85
25,Houston County,,SPHERE,TN,8/29/2000 21:50,8/29,29.85
26,Culver City,,LIGHT,CA,8/29/2000 21:48,8/29,29.85
27,Claremore,,,OK,8/29/2000 20:00,8/29,29.85
28,West Seneca,,EGG,NY,8/29/2000 18:45,8/29,29.85
29,Sedona,,SPHERE,AZ,8/29/2000 16:00,8/29,29.85
30,Lawrence,,OTHER,KS,8/29/2000 13:30,8/29,29.85
31,Albuquerque,,CIRCLE,NM,8/29/2000 12:48,8/29,29.85
32,San Diego,,CIRCLE,CA,8/29/2000 1:27,8/29,29.85
33,Uniondale,,FIREBALL,NY,8/29/2000 0:15,8/29,29.85
34,Sun Prairie,,FORMATION,WI,8/28/2000 6:00,8/28,29.91
35,Yreka,,DIAMOND,CA,8/28/2000 4:08,8/28,29.91
36,Placerville,,,CA,8/28/2000 3:40,8/28,29.91
37,Arnold,,LIGHT,MO,8/28/2000 23:41,8/28,29.91
38,Newcastle,GREEN,FIREBALL,CA,8/28/2000 23:23,8/28,29.91
39,Gerlach,,OTHER,NV,8/28/2000 22:51,8/28,29.91
40,Shorewood,,SPHERE,MN,8/28/2000 22:25,8/28,29.91
41,Canton,,DISK,NY,8/28/2000 22:15,8/28,29.91
42,Lenexa,ORANGE,LIGHT,KS,8/28/2000 22:15,8/28,29.91
43,West Covina,RED,DISK,CA,8/28/2000 22:08,8/28,29.91
44,Garden City,,LIGHT,SC,8/28/2000 22:00,8/28,29.91
45,Dupo,,DIAMOND,IL,8/28/2000 21:00,8/28,29.91
46,Gerlach,,,NV,8/28/2000 21:00,8/28,29.91
47,Chickamauga,,LIGHT,GA,8/28/2000 20:30,8/28,29.91
48,Warrington,,CHEVRON,FL,8/28/2000 20:15,8/28,29.91
49,Prairie   Grove,,CIGAR,AR,8/28/2000 20:00,8/28,29.91
50,Zortman,,OTHER,MT,8/28/2000 20:00,8/28,29.91
51,La Pine,,DISK,OR,8/28/2000 19:35,8/28,29.91
52,New York City,,VARIOUS,NY,8/28/2000 19:00,8/28,29.91
53,Hillsboro,,SPHERE,NJ,8/28/2000 17:30,8/28,29.91
54,Hillsborough,,SPHERE,NJ,8/28/2000 17:30,8/28,29.91
55,Arizona,,,AZ,8/27/2000 4:20,8/27,29.92
56,Redding,RED,,CA,8/27/2000 3:00,8/27,29.92
57,Millis,,CIRCLE,MA,8/27/2000 23:50,8/27,29.92
58,Eugene,,VARIOUS,OR,8/27/2000 23:00,8/27,29.92
59,Malone,,CIRCLE,NY,8/27/2000 22:10,8/27,29.92
60,Katy,RED,OVAL,TX,8/27/2000 21:00,8/27,29.92
61,Carbondale,,LIGHT,IL,8/27/2000 20:45,8/27,29.92
62,American Falls,BLUE,DISK,IL,8/27/2000 17:00,8/27,29.92
63,Middletown,YELLOW,OTHER,CA,8/27/2000 17:00,8/27,29.92
64,Molalla,,DISK,OR,8/27/2000 12:45,8/27,29.92
65,NJ Turnpike,,SPHERE,NJ,8/27/2000 10:24,8/27,29.92
66,Pasadena,RED,DISK,CA,8/26/2000 9:30,8/26,29.54
67,Twin Falls,,FIREBALL,ID,8/26/2000 23:59,8/26,29.54
68,Fairfield,RED YELLOW,LIGHT,CA,8/26/2000 23:30,8/26,29.54
69,Goverment Camp,ORANGE,LIGHT,OR,8/26/2000 23:30,8/26,29.54
70,Yorba Linda,,OTHER,CA,8/26/2000 23:10,8/26,29.54
71,Florence,,LIGHT,OR,8/26/2000 23:00,8/26,29.54
72,Grantsville,,FIREBALL,UT,8/26/2000 22:50,8/26,29.54
73,Salt Lake City,,FIREBALL,UT,8/26/2000 22:42,8/26,29.54
74,San Diego,RED,FIREBALL,CA,8/26/2000 22:00,8/26,29.54
75,Trout Creek Recreation,,LIGHT,OR,8/26/2000 22:00,8/26,29.54
76,San Diego,,CIRCLE,CA,8/26/2000 21:50,8/26,29.54
77,Fresno,,LIGHT,CA,8/26/2000 21:30,8/26,29.54
78,San Diego,RED,TRIANGLE,CA,8/26/2000 21:30,8/26,29.54
79,Portland,,LIGHT,OR,8/26/2000 21:13,8/26,29.54
80,San Diego,,LIGHT,CA,8/26/2000 21:05,8/26,29.54
81,Pottsburo,,LIGHT,TX,8/26/2000 20:00,8/26,29.54
82,Portland,RED,OTHER,OR,8/26/2000 2:45,8/26,29.54
83,Portland,,OTHER,OR,8/26/2000 18:00,8/26,29.54
84,Sebastopol,,SPHERE,CA,8/26/2000 11:30,8/26,29.54
85,Las Vegas,RED,FORMATION,NV,8/26/2000 0:30,8/26,29.54
86,Fort Lauderdale,,LIGHT,FL,8/26/2000 0:00,8/26,29.54
87,West Tisbury,,CIRCLE,MA,8/25/2000 9:00,8/25,29.4
88,White Sands,,CIRCLE,NM,8/25/2000 7:30,8/25,29.4
89,Waverly,RED YELLOW,LIGHT,KY,8/25/2000 5:03,8/25,29.4
90,LeSueur,,LIGHT,MN,8/25/2000 23:55,8/25,29.4
91,Maple Falls,,FORMATION,WA,8/25/2000 23:30,8/25,29.4
92,Walnut Hill,,TRIANGLE,IL,8/25/2000 23:10,8/25,29.4
93,Mackinaw,,VARIOUS,MI,8/25/2000 23:00,8/25,29.4
94,Wapakoneta,BLUE,CONE,OH,8/25/2000 23:00,8/25,29.4
95,Loveland,ORANGE,DISK,CO,8/25/2000 23:00,8/25,29.4
96,Presque Isle,,LIGHT,ME,8/25/2000 22:30,8/25,29.4
97,Lewiston,RED GREEN,CIRCLE,ME,8/25/2000 22:30,8/25,29.4
98,Concord,,LIGHT,NH,8/25/2000 22:05,8/25,29.4
99,Bellingham,,TRIANGLE,WA,8/25/2000 22:00,8/25,29.4
100,Fontana,,CIRCLE,CA,8/25/2000 22:00,8/25,29.4
101,Newbury Park,,DISK,CA,8/25/2000 22:00,8/25,29.4
102,Las Vegas,,FLASH,NV,8/25/2000 22:00,8/25,29.4
103,Dallas,,CIGAR,TX,8/25/2000 21:44,8/25,29.4
104,Lake Havasu City,ORANGE,CONE,AZ,8/25/2000 21:43,8/25,29.4
105,On the Mass Pike: Rt. 90,,FORMATION,MA,8/25/2000 21:30,8/25,29.4
106,Grand Prairie,,FIREBALL,TX,8/25/2000 21:30,8/25,29.4
107,Gilbert,,LIGHT,AZ,8/25/2000 21:20,8/25,29.4
108,Hopkinton,,LIGHT,RI,8/25/2000 21:05,8/25,29.4
109,Little Rock,,DISK,AR,8/25/2000 21:02,8/25,29.4
110,Burke,,CIRCLE,VA,8/25/2000 21:00,8/25,29.4
111,Bothell,,OTHER,WA,8/25/2000 21:00,8/25,29.4
112,Phoenix,,CIRCLE,AZ,8/25/2000 20:35,8/25,29.4
113,Chandler,,LIGHT,AZ,8/25/2000 20:20,8/25,29.4
114,Chandler,,CIRCLE,AZ,8/25/2000 20:15,8/25,29.4
115,Gilbert,RED,LIGHT,AZ,8/25/2000 20:15,8/25,29.4
116,Tyler,,TRIANGLE,TX,8/25/2000 20:15,8/25,29.4
117,Chandler,RED,LIGHT,AZ,8/25/2000 20:14,8/25,29.4
118,Gilbert,RED,LIGHT,AZ,8/25/2000 20:10,8/25,29.4
119,Mesa,RED,CIRCLE,AZ,8/25/2000 20:05,8/25,29.4
120,Phoenix,RED ORANGE,LIGHT,AZ,8/25/2000 20:05,8/25,29.4
121,Chandler,RED,LIGHT,AZ,8/25/2000 20:00,8/25,29.4
122,Gilbert,RED,,AZ,8/25/2000 20:00,8/25,29.4
123,Gilbert,RED,LIGHT,AZ,8/25/2000 20:00,8/25,29.4
124,East Petersburg,BLUE,CIRCLE,PA,8/25/2000 18:30,8/25,29.4
125,Wayne,,SPHERE,NJ,8/25/2000 17:00,8/25,29.4
126,Beaumont,,,TX,8/25/2000 17:00,8/25,29.4
127,Portland,,SPHERE,OR,8/25/2000 15:05,8/25,29.4
128,Noxapater,,CONE,MS,8/25/2000 10:15,8/25,29.4
129,Ringgold,,TRIANGLE,GA,8/25/2000 1:50,8/25,29.4
130,Bothell,,OTHER,WA,8/25/2000 1:30,8/25,29.4
131,Liberty,,LIGHT,WA,8/25/2000 1:30,8/25,29.4
132,Smithville,,CIRCLE,TX,8/25/2000 0:40,8/25,29.4
133,Santa Monica,,TRIANGLE,CA,8/24/2000 9:30,8/24,29.33
134,Diamond Bar,ORANGE,CIRCLE,CA,8/24/2000 9:15,8/24,29.33
135,Denver,,TRIANGLE,CO,8/24/2000 4:45,8/24,29.33
136,Springbrook,RED,LIGHT,WI,8/24/2000 3:00,8/24,29.33
137,Trout Lake,,FORMATION,WA,8/24/2000 23:51,8/24,29.33
138,Bow,,FIREBALL,WA,8/24/2000 23:20,8/24,29.33
139,Tacoma,,LIGHT,WA,8/24/2000 23:00,8/24,29.33
140,Adams,,LIGHT,NY,8/24/2000 22:14,8/24,29.33
141,Shoreline,,LIGHT,WA,8/24/2000 22:04,8/24,29.33
142,Tupper Lake,,CIGAR,NY,8/24/2000 22:00,8/24,29.33
143,Indianapolis,,FLASH,IN,8/24/2000 20:30,8/24,29.33
144,Gilbert,RED,SPHERE,AZ,8/24/2000 20:20,8/24,29.33
145,Gilbert,RED,LIGHT,AZ,8/24/2000 20:10,8/24,29.33
146,Chandler,RED,OVAL,AZ,8/24/2000 20:00,8/24,29.33
147,Gilbert,RED,LIGHT,AZ,8/24/2000 20:00,8/24,29.33
148,Gilbert,RED,,AZ,8/24/2000 19:52,8/24,29.33
149,Luna,,RECTANGLE,LA,8/24/2000 19:30,8/24,29.33
150,St. Petersburg,RED,SPHERE,FL,8/24/2000 18:45,8/24,29.33
151,Renton,,FORMATION,WA,8/24/2000 11:45,8/24,29.33
152,Londonderry,,OVAL,NH,8/24/2000 11:00,8/24,29.33
153,Nevada City,RED GREEN BLUE,SPHERE,CA,8/24/2000 1:30,8/24,29.33
