day,Minimum ,highest,weather
2000-08-24 0:00,23,32,Cloudy
2000-08-24 0:00,23,32,Foggy
2000-08-25 0:00,25,31,Foggy
2000-08-25 0:00,25,31,Thunder
2000-08-26 0:00,25,32,Cloudy
2000-08-26 0:00,25,32,Humid
2000-08-27 0:00,25,32,Humid
2000-08-27 0:00,25,32,Humid
2000-08-28 0:00,24,32,Humid
2000-08-28 0:00,24,32,Humid
2000-08-29 0:00,24,32,Humid
2000-08-30 0:00,24,32,Cloudy
2000-08-31 0:00,24,32,Cloudy
2000-08-24 0:00,24,29,Cloudy
2000-08-24 0:00,24,29,Foggy
2000-08-25 0:00,24,29,Foggy
2000-08-25 0:00,24,29,Thunder
2000-08-26 0:00,24,30,Cloudy
2000-08-26 0:00,24,30,Humid
2000-08-27 0:00,25,30,Humid
2000-08-27 0:00,25,30,Humid
2000-08-28 0:00,24,30,Humid
2000-08-28 0:00,24,30,Humid
2000-08-29 0:00,24,30,Humid
2000-08-30 0:00,24,29,Cloudy
2000-08-31 0:00,24,29,Cloudy
2000-08-24 0:00,23,31,Cloudy
2000-08-24 0:00,23,31,Foggy
2000-08-25 0:00,24,32,Foggy
2000-08-25 0:00,24,32,Thunder
2000-08-26 0:00,24,32,Cloudy
2000-08-26 0:00,24,32,Humid
2000-08-27 0:00,24,32,Humid
2000-08-27 0:00,24,32,Humid
2000-08-30 0:00,24,31,Cloudy
2000-08-31 0:00,24,31,Cloudy
2000-08-24 0:00,21,30,Cloudy
2000-08-24 0:00,21,30,Foggy
2000-08-25 0:00,22,31,Foggy
2000-08-25 0:00,22,31,Thunder
2000-08-26 0:00,23,30,Cloudy
2000-08-26 0:00,23,30,Humid
2000-08-27 0:00,21,30,Humid
2000-08-27 0:00,21,30,Humid
2000-08-28 0:00,22,30,Humid
2000-08-28 0:00,22,30,Humid
2000-08-29 0:00,23,30,Humid
2000-08-30 0:00,23,31,Cloudy
2000-08-31 0:00,23,31,Cloudy
2000-08-24 0:00,22,30,Cloudy
2000-08-24 0:00,22,30,Foggy
2000-08-25 0:00,23,31,Foggy
2000-08-25 0:00,23,31,Thunder
2000-08-26 0:00,22,30,Cloudy
2000-08-26 0:00,22,30,Humid
2000-08-27 0:00,23,31,Humid
2000-08-27 0:00,23,31,Humid
2000-08-28 0:00,23,31,Humid
2000-08-28 0:00,23,31,Humid
2000-08-29 0:00,23,31,Humid
2000-08-25 0:00,24,31,Foggy
2000-08-25 0:00,24,31,Thunder
2000-08-28 0:00,24,31,Humid
2000-08-28 0:00,24,31,Humid
2000-08-29 0:00,24,31,Humid
2000-08-24 0:00,22,26,Cloudy
2000-08-24 0:00,22,26,Foggy
2000-08-25 0:00,22,26,Foggy
2000-08-25 0:00,22,26,Thunder
2000-08-26 0:00,22,26,Cloudy
2000-08-26 0:00,22,26,Humid
2000-08-27 0:00,23,26,Humid
2000-08-27 0:00,23,26,Humid
2000-08-28 0:00,22,26,Humid
2000-08-28 0:00,22,26,Humid
2000-08-29 0:00,22,27,Humid
2000-08-30 0:00,22,26,Cloudy
2000-08-31 0:00,22,26,Cloudy
2000-08-27 0:00,24,30,Humid
2000-08-27 0:00,24,30,Humid
2000-08-24 0:00,24,30,Cloudy
2000-08-24 0:00,24,30,Foggy
2000-08-25 0:00,25,30,Foggy
2000-08-25 0:00,25,30,Thunder
2000-08-26 0:00,25,30,Cloudy
2000-08-26 0:00,25,30,Humid
2000-08-28 0:00,25,31,Humid
2000-08-28 0:00,25,31,Humid
2000-08-29 0:00,25,31,Humid
2000-08-31 0:00,26,31,Cloudy
2000-08-24 0:00,22,28,Cloudy
2000-08-24 0:00,22,28,Foggy
2000-08-25 0:00,24,27,Foggy
2000-08-25 0:00,24,27,Thunder
2000-08-26 0:00,23,28,Cloudy
2000-08-26 0:00,23,28,Humid
2000-08-27 0:00,23,28,Humid
2000-08-27 0:00,23,28,Humid
2000-08-28 0:00,23,29,Humid
2000-08-28 0:00,23,29,Humid
2000-08-29 0:00,23,28,Humid
2000-08-30 0:00,23,29,Cloudy
2000-08-31 0:00,23,29,Cloudy
2000-08-24 0:00,22,29,Cloudy
2000-08-24 0:00,22,29,Foggy
2000-08-25 0:00,25,29,Foggy
2000-08-25 0:00,25,29,Thunder
2000-08-26 0:00,24,29,Cloudy
2000-08-26 0:00,24,29,Humid
2000-08-27 0:00,24,29,Humid
2000-08-27 0:00,24,29,Humid
2000-08-29 0:00,24,29,Humid
2000-08-30 0:00,23,30,Cloudy
2000-08-31 0:00,24,30,Cloudy
2000-08-28 0:00,25,30,Humid
2000-08-28 0:00,25,30,Humid
2000-08-30 0:00,24,30,Cloudy
2000-08-31 0:00,25,30,Cloudy
2000-08-25 0:00,24,30,Foggy
2000-08-25 0:00,24,30,Thunder
2000-08-27 0:00,23,30,Humid
2000-08-27 0:00,23,30,Humid
2000-08-27 0:00,24,31,Humid
2000-08-27 0:00,24,31,Humid
2000-08-30 0:00,23,32,Cloudy
2000-08-31 0:00,23,32,Cloudy
2000-08-24 0:00,21,29,Cloudy
2000-08-24 0:00,21,29,Foggy
2000-08-26 0:00,23,29,Cloudy
2000-08-26 0:00,23,29,Humid
2000-08-28 0:00,23,30,Humid
2000-08-28 0:00,23,30,Humid
2000-08-30 0:00,22,31,Cloudy
2000-08-24 0:00,21,28,Cloudy
2000-08-24 0:00,21,28,Foggy
2000-08-25 0:00,23,28,Foggy
2000-08-25 0:00,23,28,Thunder
2000-08-24 0:00,20,28,Cloudy
2000-08-24 0:00,20,28,Foggy
2000-08-25 0:00,22,28,Foggy
2000-08-25 0:00,22,28,Thunder
2000-08-26 0:00,22,28,Cloudy
2000-08-26 0:00,22,28,Humid
2000-08-27 0:00,22,30,Humid
2000-08-27 0:00,22,30,Humid
2000-08-28 0:00,22,29,Humid
2000-08-28 0:00,22,29,Humid
2000-08-29 0:00,22,29,Humid
2000-08-30 0:00,22,30,Cloudy
2000-08-31 0:00,23,30,Cloudy
2000-08-29 0:00,23,29,Humid
2000-08-24 0:00,20,29,Cloudy
2000-08-24 0:00,20,29,Foggy
2000-08-25 0:00,23,29,Foggy
2000-08-25 0:00,23,29,Thunder
2000-08-29 0:00,22,30,Humid
2000-08-31 0:00,22,31,Cloudy
2000-08-31 0:00,25,31,Cloudy
2000-08-29 0:00,22,31,Humid
2000-08-24 0:00,22,31,Cloudy
2000-08-24 0:00,22,31,Foggy
2000-08-31 0:00,25,32,Cloudy
2000-08-24 0:00,23,30,Cloudy
2000-08-24 0:00,23,30,Foggy
2000-08-26 0:00,25,29,Cloudy
2000-08-26 0:00,25,29,Humid
2000-08-26 0:00,24,31,Cloudy
2000-08-26 0:00,24,31,Humid
2000-08-25 0:00,22,29,Foggy
2000-08-25 0:00,22,29,Thunder
2000-08-31 0:00,22,30,Cloudy
